

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
570.446  000.907  000.221: require('mind.commands')
570.547  000.099  000.099: require('mind.highlight')
570.703  000.152  000.152: require('mind.state')
570.712  001.324  000.166: require('mind')
570.853  000.137  000.137: require('mind.defaults')
570.980  001.760  000.299: require('engeir.mind')
571.534  000.402  000.402: require('mini.ai')
571.918  000.377  000.377: require('mini.align')
572.327  000.404  000.404: require('mini.bracketed')
574.203  001.871  001.871: require('mini.comment')
574.823  000.582  000.582: require('mini.cursorword')
575.712  000.879  000.879: require('mini.indentscope')
576.214  000.496  000.496: require('mini.jump')
576.793  000.574  000.574: require('mini.pairs')
577.545  000.748  000.748: require('mini.splitjoin')
578.370  000.817  000.817: require('mini.starter')
579.345  000.970  000.970: require('mini.surround')
579.581  000.229  000.229: require('mini.trailspace')
599.930  028.946  020.598: require('engeir.mini-nvim')
601.211  000.521  000.521: require('vim.treesitter.highlighter')
601.223  000.718  000.197: require('neodim.util')
601.237  000.977  000.259: require('neodim')
601.398  001.458  000.480: require('engeir.neodim')
601.903  000.124  000.124: require('neogen.config')
602.026  000.117  000.117: require('neogen.utilities.helpers')
602.148  000.119  000.119: require('neogen.mark')
602.156  000.554  000.195: require('neogen')
602.559  000.141  000.141: require('neogen.utilities.nodes')
602.668  000.105  000.105: require('neogen.utilities.extractors')
602.770  000.098  000.098: require('neogen.locators.default')
602.875  000.101  000.101: require('neogen.template')
602.985  000.106  000.106: require('neogen.types.template')
603.115  000.114  000.114: require('neogen.templates.google_docstrings')
603.235  000.115  000.115: require('neogen.templates.numpydoc')
603.352  000.113  000.113: require('neogen.templates.reST')
603.355  001.120  000.226: require('neogen.configurations.python')
603.471  002.067  000.393: require('engeir.neogen')
603.850  000.129  000.129: require('neogit.config')
604.316  000.105  000.105: require('neogit.lib.notification')
604.475  000.154  000.154: require('neogit.logger')
604.843  000.099  000.099: require('neogit.lib.mappings_manager')
605.272  000.161  000.161: require('neogit.lib.util')
605.283  000.319  000.158: require('neogit.lib.ui.component')
605.297  000.449  000.130: require('neogit.lib.ui')
605.413  000.105  000.105: require('neogit.lib.uv')
605.417  000.811  000.157: require('neogit.lib.buffer')
605.425  000.946  000.136: require('neogit.process')
605.458  001.427  000.221: require('neogit.lib.git.cli')
605.717  000.128  000.128: require('neogit.lib.git.stash')
605.821  000.099  000.099: require('neogit.lib.collection')
605.827  000.367  000.139: require('neogit.lib.git.status')
606.198  000.115  000.115: require('neogit.lib.md5')
606.207  000.263  000.147: require('neogit.lib.git.diff')
606.214  000.384  000.122: require('neogit.lib.git.log')
606.441  000.101  000.101: require('neogit.lib.input')
606.450  000.232  000.131: require('neogit.lib.git.branch')
606.724  000.087  000.087: require('neogit.lib.rpc')
606.729  000.183  000.096: require('neogit.client')
606.735  000.282  000.099: require('neogit.lib.git.rebase')
606.737  002.798  000.106: require('neogit.lib.git')
607.018  000.086  000.086: require('neogit.lib.state')
607.024  000.178  000.092: require('neogit.lib.popup.builder')
607.129  000.103  000.103: require('neogit.buffers.common')
607.251  000.112  000.112: require('neogit.lib.popup.lib')
607.254  000.516  000.123: require('neogit.lib.popup')
607.258  003.402  000.089: require('neogit.lib')
607.335  000.075  000.075: require('neogit.lib.signs')
607.626  000.189  000.189: require('neogit.lib.color')
607.636  000.298  000.110: require('neogit.lib.hl')
608.115  000.182  000.182: require('neogit.buffers.git_command_history')
608.436  000.149  000.149: require('neogit.buffers.commit_view.parsing')
608.538  000.096  000.096: require('neogit.buffers.commit_view.ui')
608.543  000.420  000.175: require('neogit.buffers.commit_view')
608.714  000.080  000.080: require('neogit.lib.git.pull')
608.795  000.077  000.077: require('neogit.lib.git.push')
608.800  000.253  000.096: require('neogit.lib.git.repository')
608.878  000.076  000.076: require('neogit.lib.functional')
608.978  000.096  000.096: require('neogit.lib.line_buffer')
609.082  000.101  000.101: require('neogit.lib.fs')
609.174  001.535  000.407: require('neogit.status')
609.389  000.112  000.112: require('neogit.popups.commit')
609.688  000.083  000.083: require('neogit.buffers.log_view.ui')
609.693  000.202  000.119: require('neogit.buffers.log_view')
609.696  000.304  000.102: require('neogit.popups.log')
609.783  000.085  000.085: require('neogit.popups.push')
609.865  000.079  000.079: require('neogit.popups.pull')
609.942  000.075  000.075: require('neogit.popups.stash')
610.019  000.074  000.074: require('neogit.popups.help')
610.022  000.843  000.115: require('neogit.popups')
610.804  000.147  000.147: require('neogit.autocmds')
610.828  007.214  000.784: require('neogit')
610.944  000.113  000.113: require('tj.keymap')
611.412  007.938  000.610: require('engeir.neogit')
612.934  000.130  000.130: require('nvim-tree.iterators.node-iterator')
612.958  000.868  000.738: require('nvim-tree.utils')
